Sensor,Speed,SE,Phi,Mean,Peak,RMS,SD,Skewness,Kurtosis,Crest,Damage Level
W185,20,0.263644877,11.85121998,3.81007296,0.084382735,0.202076853,0.183978686,5.700327063,0.508560379,0.117456765,DR
W200,20,0.270294949,13.88679697,19.48777708,0.038370854,0.110658923,0.10772041,0.429504326,0.225109641,0.148865045,DR
E114,20,0.199459939,13.52581943,14.08528299,0.181137836,0.006290896,0.026328778,1.82650585,0.098678525,0.187440524,DL2
E151,20,0.119566603,0.824712835,10.08873092,1.5389916,0.117172204,0.11666185,2.271330173,0.263920884,1.658106644,DL2
E166,20,0.573870595,0.477201446,35.42421671,0.261238584,0.131239102,0.146506093,1.931527685,0.141575059,0.392993447,DL2
E181,20,0.442650129,2.890826603,26.02249563,0.256024959,0.14303111,0.13949928,1.504493083,0.029790525,0.399627661,DL2
E196,20,0.40972107,11.78117559,47.3626278,0.096741793,0.168947975,0.17145648,4.379014012,0.130022305,0.266139406,DL2
N40,20,0.081779036,0.756367027,8.953753575,0.43346606,0.01412572,0.036546435,5.114928349,0.221097964,0.447528563,DL2
N41,20,0.266577895,19.08590413,5.291442262,0.000605812,0.207214377,0.154863618,4.070976254,0.28100255,0.207390446,DL2
W110,20,0.979117923,3.68407335,14.06651387,0.652234948,0.73190779,0.75708762,2.066691618,1.848647923,0.079093948,DL2
W155,20,0.833873587,13.4020619,33.19616934,0.234081409,0.314679002,0.315915204,0.786806387,0.86286327,0.547038994,DL2
W170,20,0.737515388,14.10707686,17.53379579,0.222987771,0.234022615,0.239369108,5.732115811,0.796411679,0.455943376,DL2
W185,20,0.128825708,11.69119852,38.49250697,0.034539012,0.124204276,0.106120174,5.273003255,0.573194314,0.158546366,DL2
W200,20,0.118682999,13.54050818,29.94442076,0.01966159,0.028786004,0.025849894,0.087849881,0.254346101,0.009121788,DL2
E114,25,0,0,0,0,0,0,0,0,0,H
E151,25,0,0,0,0,0,0,0,0,0,H
E166,25,0,0,0,0,0,0,0,0,0,H
E181,25,0,0,0,0,0,0,0,0,0,H
E196,25,0,0,0,0,0,0,0,0,0,H
N40,25,0,0,0,0,0,0,0,0,0,H
N41,25,0,0,0,0,0,0,0,0,0,H
W110,25,0,0,0,0,0,0,0,0,0,H
W155,25,0,0,0,0,0,0,0,0,0,H
W170,25,0,0,0,0,0,0,0,0,0,H
W185,25,0,0,0,0,0,0,0,0,0,H
W200,25,0,0,0,0,0,0,0,0,0,H
E114,25,0.472264365,10.84449728,80.74926664,1.944829875,0.138627616,0.113665392,2.991212506,0.129965828,1.808709631,DR
E151,25,0.748349834,2.078540907,122.013874,0.021660524,0.010937225,0.005102864,3.601598728,0.047897057,0.010724472,DR
E166,25,0.367253827,1.747074775,68.24095717,0.005698792,0.001213043,0.007694776,5.627128894,0.006656967,0.006911919,DR
E181,25,0.408648061,13.41630927,56.22550005,1.924313742,0.017704883,0.020444791,6.04961786,0.30709073,1.906271355,DR
E196,25,0.377838029,16.89144489,278.4812021,1.839732811,0.042495166,0.038960878,1.170859229,0.271609835,1.79647423,DR
N40,25,0.304155403,13.46593691,53.41390533,0.040530538,0.10918344,0.065339515,2.012627907,0.130866265,0.068578026,DR
N41,25,0.102613029,12.58206725,101.1210027,0.210582768,0.006005041,0.031003418,5.006158926,0.192150788,0.204565442,DR
W110,25,1.573581054,0.012477302,563.3619794,0.849561739,0.408324461,0.38485792,16.21399776,0.517180147,1.252770831,DR
W155,25,2.325498062,0.350036703,593.6108227,1.535616197,0.068558292,0.074690288,47.55199094,0.574798669,1.603075447,DR
W170,25,1.351918903,0.287707868,202.1646385,0.808984156,0.045292951,0.054462228,21.7062577,0.499855107,0.763345463,DR
W185,25,0.163068677,2.486207945,47683.0707,0.776249721,0.052014723,0.054357098,9.625000533,0.097853837,0.827833848,DR
W200,25,0.195504334,30.7435344,109.5996372,0.407480011,0.000578289,0.024418443,3.714895336,0.086330905,0.406904075,DR
E114,25,0.302428112,11.54423873,41.59028214,1.819373168,0.117910119,0.092942717,2.298658889,0.165709304,1.703471614,DL2
E151,25,0.856078661,3.018919291,27.08971088,0.035652907,0.017936446,0.012102493,3.841334143,0.043002745,0.053598966,DL2
E166,25,0.157691961,12.20110575,110.1194531,0.054288491,0.021179427,0.012273387,5.93184044,0.005678227,0.075483905,DL2
E181,25,0.218928328,13.37844942,52.82939721,1.865672014,0.03333688,0.030598372,4.620164999,0.311371439,1.899642176,DL2
E196,25,0.203053689,17.21057858,14944.60483,1.7519404,0.00618237,0.009714939,0.226080049,0.296810705,1.75823147,DL2
N40,25,0.023429646,13.12537871,82.02128925,0.067707385,0.05321978,0.009400365,2.759367553,0.142797976,0.120862842,DL2
N41,25,0.121267788,12.46966231,106.3553954,0.056579883,0.032228203,0.007239383,5.160679769,0.128360107,0.088836717,DL2
W110,25,1.621146357,0.837327501,540.2887197,0.975384935,0.431915483,0.408443429,16.64854197,0.583142423,1.40124821,DL2
W155,25,2.352445487,0.748256918,374.1264441,1.673831555,0.059921197,0.066052664,48.03917954,0.606721946,1.732714489,DL2
W170,25,1.474720106,11.46057607,522.9131357,0.767576219,0.026171647,0.035339171,21.80960187,0.555690786,0.741210585,DL2
W185,25,0.162666985,1.908787996,6095.168996,0.923956502,0.000695622,0.001645519,9.085109091,0.181508741,0.923267302,DL2
W200,25,0.076166562,1.324989625,153.1515902,0.521534779,0.057215019,0.032232446,3.477155654,0.158220356,0.464585572,DL2
E114,30,0,0,0,0,0,0,0,0,0,H
E151,30,0,0,0,0,0,0,0,0,0,H
E166,30,0,0,0,0,0,0,0,0,0,H
E181,30,0,0,0,0,0,0,0,0,0,H
E196,30,0,0,0,0,0,0,0,0,0,H
N40,30,0,0,0,0,0,0,0,0,0,H
N41,30,0,0,0,0,0,0,0,0,0,H
W110,30,0,0,0,0,0,0,0,0,0,H
W155,30,0,0,0,0,0,0,0,0,0,H
W170,30,0,0,0,0,0,0,0,0,0,H
W185,30,0,0,0,0,0,0,0,0,0,H
W200,30,0,0,0,0,0,0,0,0,0,H
E114,30,1.26079949,1.601307077,98.9556931,0.405544733,0.233137333,0.258192486,4.376998917,0.126841083,0.172006389,DR
E151,30,0.794063546,31.88736594,126.4694399,0.010592065,0.055840598,0.064118302,17.56563535,0.007709922,0.04522328,DR
E166,30,0.403366968,20.95868213,79.89279485,0.006336345,0.05877263,0.05560349,12.98091007,0.01090708,0.052405485,DR
E181,30,0.680016001,0.316307846,233.5066663,0.004559261,0.15855726,0.159371431,3.187928957,0.080012497,0.162858298,DR
E196,30,0.512238552,1.028679922,478.4005165,0.008860003,0.18834084,0.182028917,0.1625541,0.268052008,0.179143437,DR
N40,30,0.628634081,12.80729211,111.7065054,0.506735061,0.090879763,0.115899356,0.117336837,0.064393802,0.415477712,DR
N41,30,0.730504672,1.014449647,14.97962033,0.039449531,0.107120472,0.082150373,4.553677461,0.053108668,0.146727178,DR
W110,30,1.422840861,25.1436011,3.731014294,1.966945699,0.136265182,0.16129612,395.4564194,0.106156554,1.828189331,DR
W155,30,0.314811474,0.199940805,27.11088366,2.35366694,0.019650605,0.028812518,17.70940228,0.007656536,2.372851266,DR
W170,30,0.310403581,21.44115119,2.956183619,0.780988792,0.016663803,0.015362316,10.99784376,0.063226005,0.764197645,DR
W185,30,0.29851946,9.73285363,47.59639842,0.86492721,0.011291466,0.006539004,7.201031282,0.249688321,0.853732143,DR
W200,30,0.173567195,28.97666771,46.8773617,0.561718597,0.008515415,0.006902683,3.897812642,0.149514964,0.570185458,DR
E114,30,1.121942119,1.195547194,77.42900433,0.228889271,0.155451704,0.180487438,6.048516948,0.135209108,0.073323584,DL2
E151,30,0.532284458,31.93926556,3.246590891,0.03664081,0.024908692,0.033183837,11.39913214,0.03497152,0.061534175,DL2
E166,30,0.113669516,42.1254546,4.378477512,0.044004741,0.019275625,0.016107735,10.17414487,0.040219833,0.063268171,DL2
E181,30,0.128377961,0.484451058,155.0873664,0.111522821,0.02827368,0.029086792,3.171365306,0.125776486,0.139756986,DL2
E196,30,0.062704311,0.676807651,25.40306296,0.123661408,0.039207046,0.032904519,0.174760075,0.2823461,0.162804622,DL2
N40,30,0.519667034,0.727131863,107.355316,0.475785628,0.067024339,0.092037969,0.389365765,0.04171471,0.408487503,DL2
N41,30,0.721926193,0.951010386,140.9366341,0.049110641,0.110830437,0.085861265,3.792540493,0.055716011,0.061788276,DL2
W110,30,0.885111984,24.22467516,30.39534656,1.946154999,0.003354767,0.028352482,434.3267327,0.110971972,1.942735058,DL2
W155,30,0.03260029,0.009132709,80.3615944,2.562208661,0.032723883,0.023566769,17.30101801,0.003370013,2.530312794,DL2
W170,30,0.091625214,21.6287995,9.840666535,0.734509059,0.044777191,0.046077878,9.991930857,0.064120301,0.779635349,DL2
W185,30,0.939877991,1.249329597,82.76508521,0.983986427,0.168397423,0.163652428,7.325644577,0.257296842,0.816964752,DL2
W200,30,0.883770224,2.585581089,65.14671929,0.715917791,0.168533355,0.170143231,3.85827317,0.137656567,0.548308518,DL2
E114,35,0,0,0,0,0,0,0,0,0,H
E151,35,0,0,0,0,0,0,0,0,0,H
E166,35,0,0,0,0,0,0,0,0,0,H
E181,35,0,0,0,0,0,0,0,0,0,H
E196,35,0,0,0,0,0,0,0,0,0,H
N40,35,0,0,0,0,0,0,0,0,0,H
N41,35,0,0,0,0,0,0,0,0,0,H
W110,35,0,0,0,0,0,0,0,0,0,H
W155,35,0,0,0,0,0,0,0,0,0,H
W170,35,0,0,0,0,0,0,0,0,0,H
W185,35,0,0,0,0,0,0,0,0,0,H
W200,35,0,0,0,0,0,0,0,0,0,H
E114,35,0.945601748,1.306624187,154.7002917,0.525528112,0.276086278,0.301152166,2.198737358,0.404293121,0.248755055,DR
E151,35,1.312548635,0.599320312,12.49701565,0.053421389,0.056941497,0.050578954,1.717352541,0.021620766,0.110300079,DR
E166,35,0.87201242,0.865726465,0.7024121,0.020731926,0.035036282,0.033796659,1.383377788,0.021991476,0.055748676,DR
E181,35,0.860902166,0.161197427,87.85497887,0.45794509,0.133825379,0.133447575,2.383168148,0.173117451,0.323686536,DR
E196,35,1.2569176,0.300799379,91.57456802,0.587030917,0.152504501,0.144972027,2.544242063,0.276380064,0.433864753,DR
N40,35,0.438738489,14.51340837,51.99065701,0.14958512,0.157348558,0.107341781,2.90502048,0.266172464,0.007751242,DR
N41,35,0.399310923,1.050409708,183.7542035,0.095243509,0.120177961,0.095211126,4.731569153,0.010117782,0.21568067,DR
W110,35,3.316188058,13.82908014,65.939441,2.439874309,0.848186277,0.824898348,0.323338946,0.439883905,1.578301099,DR
W155,35,0.026524767,4.145387101,21.73086474,0.038305074,0.14543252,0.139000235,64.20642807,0.158570945,0.183470768,DR
W170,35,1.601606687,9.581078381,6.115855508,0.038339668,0.108240892,0.107010691,75.5203022,0.284993337,0.069825643,DR
W185,35,0.840987395,2.037681393,183.1359302,0.504730998,0.168859962,0.168507791,4.044527164,0.02526255,0.672455452,DR
W200,35,0.2509985,0.663910767,361.3543138,0.505660019,0.054113164,0.046202802,0.630017152,0.138747428,0.559470436,DR
E114,35,1.21855443,0.534591905,1018.559208,0.830677155,0.287544166,0.312612918,2.46752372,0.165675736,0.54157572,DL2
E151,35,1.24496042,0.025224883,23.40465889,6.21251E-06,0.053016429,0.046654136,1.195812334,0.000365784,0.052982128,DL2
E166,35,0.642860275,0.638959634,2.604469874,0.03049369,0.027736912,0.026497379,0.975641436,0.05303073,0.002756014,DL2
E181,35,0.887296605,0.543583996,51.59416725,0.497846022,0.099942778,0.099565102,2.780621401,0.322764788,0.397505965,DL2
E196,35,1.203763775,0.338160907,186.6647652,0.656059117,0.112285146,0.104755697,3.04701,0.458126133,0.543164079,DL2
N40,35,0.213955242,12.57727543,48.49613339,0.059975404,0.147767404,0.097765411,2.905124314,0.313768871,0.087662463,DL2
N41,35,0.720658058,1.422990696,178.4790471,0.035537197,0.17502735,0.150074225,3.355924835,0.021802636,0.210933738,DL2
W110,35,3.559729279,1.325058341,564.8091993,2.445740755,0.879035442,0.85574039,0.079249123,0.488006532,1.553053423,DL2
W155,35,0.355156574,3.988633059,0.064964811,0.118221153,0.143841939,0.137409756,73.36436817,0.151673849,0.261686677,DL2
W170,35,2.490405692,1.405008054,2.499987252,0.049512343,0.100821689,0.099591579,80.35819377,0.27375796,0.150182615,DL2
W185,35,0.749774227,34.85930726,168.7331889,0.68517901,0.12203627,0.121684264,5.107067206,0.008251342,0.806231386,DL2
W200,35,0.165858845,0.817734611,159.8918968,0.620221368,0.001076493,0.006829676,0.959011519,0.094231236,0.621291173,DL2
E114,40,0,0,0,0,0,0,0,0,0,H
E151,40,0,0,0,0,0,0,0,0,0,H
E166,40,0,0,0,0,0,0,0,0,0,H
E181,40,0,0,0,0,0,0,0,0,0,H
E196,40,0,0,0,0,0,0,0,0,0,H
N40,40,0,0,0,0,0,0,0,0,0,H
N41,40,0,0,0,0,0,0,0,0,0,H
W110,40,0,0,0,0,0,0,0,0,0,H
W155,40,0,0,0,0,0,0,0,0,0,H
W170,40,0,0,0,0,0,0,0,0,0,H
W185,40,0,0,0,0,0,0,0,0,0,H
W200,40,0,0,0,0,0,0,0,0,0,H
E114,40,1.216461916,14.31210281,79.97314197,0.151871252,0.048511228,0.07352023,3.429955376,0.193358525,0.103309907,DR
E151,40,0.374921058,1.094174525,93.17790769,0.201437829,0.007553094,0.006661216,1.551554689,0.374434762,0.208975139,DR
E166,40,0.307197868,12.61032781,17.55266325,0.21998677,0.01153596,0.00299155,1.571430391,0.372702853,0.231549442,DR
E181,40,0.307090405,1.043018582,9.150731774,0.043923457,0.00348339,0.002722175,1.29829997,0.242898603,0.040441476,DR
E196,40,0.28827187,1.150147265,3.704817622,0.424225021,0.014172447,0.014677475,0.030788952,0.256500172,0.438335345,DR
N40,40,0.016194666,11.64550631,20.68832802,0.735185021,0.004839354,0.046435003,4.173876203,0.03932731,0.740060189,DR
N41,40,0.009081986,12.69619983,162.1532371,0.016312053,0.004631535,0.020364183,1.440318714,0.14070259,0.01168106,DR
W110,40,0.484311377,0.570260112,266.6260637,0.453459111,0.025003588,0.01125768,1.006262274,0.427182732,0.42834842,DR
W155,40,0.168841,14.67903207,5.363953453,0.681838229,0.025709789,0.032348423,3.7384861,0.125528004,0.707366155,DR
W170,40,0.169341902,0.276333805,7.038452739,0.65501288,0.018728021,0.028321642,3.496105443,0.069477266,0.673614747,DR
W185,40,0.276201168,32.28687806,1349.664932,0.245964555,0.017222722,0.005864745,22.1760069,0.066047083,0.228702445,DR
W200,40,0.076276386,1.02427504,823.5923008,0.208346751,0.010050923,0.011277724,1.264940036,0.037701903,0.218375725,DR
E114,40,2.534235541,15.7575079,541.1900854,0.041880776,0.0157887,0.040789522,4.204787232,0.133254652,0.057660373,DL2
E151,40,0.03773095,0.648754471,30.61302522,0.309940314,0.044643879,0.058850771,1.562208399,0.480554176,0.265414926,DL2
E166,40,0.692331469,12.24903113,25.582927,0.02200883,0.084714379,0.076176222,1.510595389,0.446267575,0.106813695,DL2
E181,40,0.556794547,3.70914467,120.1184873,0.272049218,0.10635676,0.100157579,0.725040275,0.262433579,0.165868871,DL2
E196,40,0.777435024,1.238026428,25.49797667,0.67213291,0.089626989,0.089122485,0.153431589,0.249451079,0.583028471,DL2
N40,40,0.200777898,30.45513165,95.1099549,0.72021964,0.014343367,0.055935063,5.909120113,0.021913469,0.734668383,DL2
N41,40,0.240152401,11.70503273,133.1587474,0.071283898,0.015706516,0.009286434,1.018985144,0.185288665,0.055586113,DL2
W110,40,0.289195657,0.892651082,111.3064748,0.428499368,0.010134467,0.003609398,0.12556551,0.434812074,0.418322506,DL2
W155,40,0.050749177,14.81143191,65.43803782,0.703125301,0.020985594,0.014350059,5.074804321,0.116245641,0.682282888,DL2
W170,40,0.501396984,0.496655038,63.94359328,0.69465595,0.050661063,0.041074097,4.547693174,0.052635404,0.644321307,DL2
W185,40,0.210029909,0.2270497,1960.332019,0.161489422,0.088052255,0.099398277,25.79836966,0.035801292,0.249761598,DL2
W200,40,0.410820293,15.36258465,833.4707597,0.315409582,0.095774256,0.094548754,1.69299529,0.06188333,0.219845882,DL2
E114,45,0,0,0,0,0,0,0,0,0,H
E151,45,0,0,0,0,0,0,0,0,0,H
E166,45,0,0,0,0,0,0,0,0,0,H
E181,45,0,0,0,0,0,0,0,0,0,H
E196,45,0,0,0,0,0,0,0,0,0,H
N40,45,0,0,0,0,0,0,0,0,0,H
N41,45,0,0,0,0,0,0,0,0,0,H
W110,45,0,0,0,0,0,0,0,0,0,H
W155,45,0,0,0,0,0,0,0,0,0,H
W170,45,0,0,0,0,0,0,0,0,0,H
W185,45,0,0,0,0,0,0,0,0,0,H
W200,45,0,0,0,0,0,0,0,0,0,H
E114,45,0.101830055,14.60805888,138.2879881,0.378374957,0.118718956,0.143745508,1.300295732,0.303988101,0.259348106,DR
E151,45,0.541296013,13.91871563,19.20444097,0.048348024,0.094687158,0.08539075,0.270129829,0.151927995,0.142899874,DR
E166,45,0.396670494,1.176371154,35.72384635,0.023350978,0.078028277,0.074121501,0.702723864,0.092012916,0.101300213,DR
E181,45,0.48562554,9.843869594,21.94898587,0.240468879,0.098703964,0.104922935,2.092295912,0.093950363,0.141625125,DR
E196,45,0.443835958,0.094437257,61.2818536,0.358496208,0.094160247,0.094779202,2.866171414,0.056155833,0.264087297,DR
N40,45,0.190128576,16.37535032,225.6955642,0.010874782,0.01889475,0.006097403,38.89650821,0.152354734,0.029775158,DR
N41,45,0.146856163,13.93753186,80.66037388,1.118701787,0.057297477,0.032314924,4.935109274,0.323373495,1.062012816,DR
W110,45,0.079760135,4.909874043,99.05611148,1.946894681,0.241716131,0.255651208,1.271427825,0.557123541,1.709310229,DR
W155,45,0.436374297,1.303061275,355.3709141,0.736929249,0.069167877,0.078198434,6.512057795,0.149295339,0.668223568,DR
W170,45,0.053921039,1.019381871,80.40547209,0.636152768,0.081083163,0.070390376,4.607408676,0.171825884,0.555520039,DR
W185,45,0.496776523,12.05154103,320.1729889,0.725796282,0.099192382,0.111188773,3.993649778,0.022121315,0.62722606,DR
W200,45,0.226455385,12.12302153,23.85270511,0.110240344,0.06500928,0.064173575,0.069645657,0.052387938,0.175363626,DR
E114,45,0.078968411,3.476110711,40.31983031,0.209583155,0.147224023,0.1722577,0.899511247,0.295580067,0.062267459,DL2
E151,45,0.525101248,14.11667077,7.585278649,0.079528464,0.093554879,0.084258577,0.032523507,0.239534769,0.172921566,DL2
E166,45,0.312236723,0.075316406,29.2934951,0.057352294,0.064363627,0.060457384,0.475251225,0.187913548,0.12163763,DL2
E181,45,0.324111545,0.358723449,2.638766364,0.028013919,0.06355529,0.069772078,1.61493389,0.039436737,0.035518797,DL2
E196,45,0.287292354,13.41142372,20.00012054,0.276805099,0.054062277,0.054680985,2.440425745,0.038421957,0.222622467,DL2
N40,45,0.277882561,12.41310565,280.0564901,0.020701393,0.025594725,0.000604247,39.46770043,0.20777993,0.046307971,DL2
N41,45,0.108487423,13.61819635,86.19090247,1.085163162,0.066004156,0.041023779,7.432982017,0.238910341,1.019832138,DL2
W110,45,0.331573021,5.361812503,135.1154981,2.186300777,0.294155641,0.308083393,5.623916986,0.546021587,1.897727408,DL2
W155,45,0.615280791,1.186153384,148.4113154,0.878699666,0.121078641,0.130104507,6.854267411,0.14581664,0.758539454,DL2
W170,45,0.464071835,13.0060956,29.81434163,0.777125104,0.150455202,0.139769839,4.735273487,0.183169023,0.62761418,DL2
W185,45,1.071726983,13.33962522,97.43983737,0.892178829,0.224841765,0.236823068,4.434087892,0.060692764,0.668840898,DL2
W200,45,0.833160429,0.144626584,98.0840163,0.003487084,0.196956558,0.196121956,0.031566199,0.052458066,0.193851277,DL2
E114,50,0,0,0,0,0,0,0,0,0,H
E151,50,0,0,0,0,0,0,0,0,0,H
E166,50,0,0,0,0,0,0,0,0,0,H
E181,50,0,0,0,0,0,0,0,0,0,H
E196,50,0,0,0,0,0,0,0,0,0,H
N40,50,0,0,0,0,0,0,0,0,0,H
N41,50,0,0,0,0,0,0,0,0,0,H
W110,50,0,0,0,0,0,0,0,0,0,H
W155,50,0,0,0,0,0,0,0,0,0,H
W170,50,0,0,0,0,0,0,0,0,0,H
W185,50,0,0,0,0,0,0,0,0,0,H
W200,50,0,0,0,0,0,0,0,0,0,H
E114,50,6.073489345,11.84225842,112.1353362,0.195237234,0.193873881,0.218919219,19.40253645,0.282087685,0.388358189,DR
E151,50,0.945772088,1.880796024,60.52283758,0.700676773,0.057196125,0.050303502,5.543359122,0.2108026,0.643112812,DR
E166,50,0.991042423,0.321525242,20.4582773,0.65486063,0.041187822,0.037105983,46.44508792,0.236802601,0.613420154,DR
E181,50,0.526337013,1.900093925,422.0317541,0.253833907,0.016090274,0.017798718,4.98016656,0.348979103,0.237705385,DR
E196,50,14.9816661,0.710129506,117.7119297,0.049306859,0.019559649,0.024500446,2.117522886,0.411677903,0.06887998,DR
N40,50,2.922599816,17.04455621,117.3133036,0.157177274,0.058034055,0.083045438,4.881196578,0.032607691,0.099085716,DR
N41,50,0.478686971,2.378207507,264.8891653,0.018786636,0.048876547,0.07388564,0.281437113,0.143488427,0.067630127,DR
W110,50,9.26319988,0.022093275,77.65653978,1.633571176,0.645169746,0.670327894,1.378629988,0.088923837,0.982065442,DR
W155,50,0.365362981,13.19711034,28.55365274,0.125943563,0.160450499,0.17012161,4.174741875,0.255038422,0.285935278,DR
W170,50,0.18413137,0.585115673,28.01284348,0.006749294,0.129406128,0.140464863,3.391350206,0.074312911,0.135979457,DR
W185,50,0.609984176,12.20783483,35.7888131,0.277716467,0.137637866,0.14064085,8.162771648,0.177262455,0.414783434,DR
W200,50,0.314754106,2.804927829,90.91323444,0.166200797,0.038871893,0.063878486,4.23186338,0.024747952,0.127279427,DR
E114,50,1.908122077,12.4508264,21.11268882,0.323649814,0.094379776,0.119400243,12.92506776,0.340343328,0.417635426,DL2
E151,50,0.571090017,0.28818188,158.0489699,0.642461267,0.014743812,0.007854114,2.909303525,0.238442372,0.627624919,DL2
