Sensor,Speed,SE,Phi,Mean,Peak,RMS,SD,Skewness,Kurtosis,Crest,Damage Level
E166,30,0,0,0,0,0,0,0,0,0,H
E181,30,0,0,0,0,0,0,0,0,0,H
E196,30,0,0,0,0,0,0,0,0,0,H
N40,30,0,0,0,0,0,0,0,0,0,H
N41,30,0,0,0,0,0,0,0,0,0,H
W110,30,0,0,0,0,0,0,0,0,0,H
W155,30,0,0,0,0,0,0,0,0,0,H
W170,30,0,0,0,0,0,0,0,0,0,H
W185,30,0,0,0,0,0,0,0,0,0,H
W200,30,0,0,0,0,0,0,0,0,0,H
E114,30,0.419329073,0.396069787,65.0865371,1.87007874,0.261369577,0.261369577,0.757575758,0.106511397,1.612924858,D
E151,30,0.700932701,29.99909489,127.8676881,0.10940919,0.066889632,0.050158836,25.75757576,0.233983287,0.042548018,D
E166,30,0.939269804,19.82005005,83.10469644,0.147797813,0.070412618,0.070392792,13.13868613,0.188311997,0.077439722,D
E181,30,1.131103361,2.108075802,285.8014464,0.332225914,0.241837969,0.241779497,0.238826339,0.259644406,0.090607067,D
E196,30,0.86321088,10.24585252,471.8674888,0.371287129,0.281690141,0.281602003,0.778307808,0.159570224,0.089850087,D
N40,30,0.512295082,0.131680904,0.57967654,0.151745068,0.155520995,0.155520995,1.898734177,0.276989504,0.307744671,D
N41,30,0,11.08570364,99.52807928,0.526315789,0.152905199,0.152905199,3.195266272,0.100633994,0.67818401,D
W110,30,1.927381248,3.229331395,124.4438054,0.917431193,0.711237553,0.711237553,191.6666667,0.313303145,1.640335428,D
W155,30,1.525648842,1.342036869,29.86822043,1.015228426,0.237529691,0.221659278,31.34328358,0.037224412,0.779550399,D
W170,30,0.791791835,13.74128811,23.90438247,0.845155448,0.223537147,0.223478375,14.91935484,0.013993598,0.623010963,D
W185,30,2.051902715,0.769667391,104.2004139,0.816181689,0.48582996,0.465492815,3.533568905,0.13379405,0.331964513,D
W200,30,1.819626872,1.238566585,49.53550417,0.193236715,0.399148483,0.399042298,1.972448341,0.141820503,0.206736956,D
E114,35,0,0,0,0,0,0,0,0,0,H
E151,35,0,0,0,0,0,0,0,0,0,H
E166,35,0,0,0,0,0,0,0,0,0,H
E181,35,0,0,0,0,0,0,0,0,0,H
E196,35,0,0,0,0,0,0,0,0,0,H
N40,35,0,0,0,0,0,0,0,0,0,H
N41,35,0,0,0,0,0,0,0,0,0,H
W110,35,0,0,0,0,0,0,0,0,0,H
W155,35,0,0,0,0,0,0,0,0,0,H
W170,35,0,0,0,0,0,0,0,0,0,H
W185,35,0,0,0,0,0,0,0,0,0,H
W200,35,0,0,0,0,0,0,0,0,0,H
E114,35,0.047547349,1.782665285,1080.026686,2.102312544,0.325884544,0.279329609,3.361807661,1.482075089,2.436136079,D
E151,35,2.898085821,3.336225254,23.2814455,0.182759671,0.109752273,0.12539185,3.61952862,0.726878858,0.292833336,D
E166,35,0.140710004,18.65497295,12.25677396,0.180319423,0.07870917,0.078688525,3.752759382,0.734843846,0.259232632,D
E181,35,0.130695357,0.462279411,72.92669534,0.57660626,0.050748541,0.050735667,4.634056638,0.063230504,0.52612472,D
E196,35,0.536870362,9.287220295,161.1557369,0.317292438,0.097560976,0.065019506,3.023952096,0.012613522,0.219517299,D
N40,35,1.685772084,9.558441688,24.26488053,0,0.674662669,0.599250936,4.568965517,0.45423847,0.670141474,D
N41,35,2.345058626,1.270951438,59.76064294,0.117096019,0.510576222,0.510576222,5.140186916,0.157731686,0.39549953,D
W110,35,1.221136767,12.12471583,347.1206564,1.821668265,0.384800385,0.336538462,4.327008335,0.878028625,2.198010696,D
W155,35,0.323253727,0.815068165,12.65196879,0.502344273,0.031421838,0.031411968,0,0.049448791,0.533598445,D
W170,35,0.002361859,5.86130734,4.559105039,0.62965083,0.013113034,0.013109596,41.17647059,0.001550604,0.616618653,D
W185,35,0.819238274,12.55319366,18.92339067,0.405222873,0.228136882,0.228079067,3.771361226,0.154356796,0.177490913,D
