Sensor,Speed,SE,Phi,Mean,Peak,RMS,SD,Skewness,Kurtosis,Crest,Damage Level
E114,15,0,0,0,0,0,0,0,0,0,HRHB
E151,15,0,0,0,0,0,0,0,0,0,HRHB
E166,15,0,0,0,0,0,0,0,0,0,HRHB
E181,15,0,0,0,0,0,0,0,0,0,HRHB
E196,15,0,0,0,0,0,0,0,0,0,HRHB
N40,15,0,0,0,0,0,0,0,0,0,HRHB
N41,15,0,0,0,0,0,0,0,0,0,HRHB
W110,15,0,0,0,0,0,0,0,0,0,HRHB
W155,15,0,0,0,0,0,0,0,0,0,HRHB
W170,15,0,0,0,0,0,0,0,0,0,HRHB
W185,15,0,0,0,0,0,0,0,0,0,HRHB
W200,15,0,0,0,0,0,0,0,0,0,HRHB
E114,15,0.087944802,0.728342819,0.578773604,0.197597224,0.073301401,0.096010085,0.827668289,0.028334829,0.124387,HR&0.4?D
E151,15,0.476009317,0.177144578,0.520900762,0.152433571,0.11547955,0.118218126,0.57866312,0.030591911,0.036996745,HR&0.4?D
E166,15,0.473594241,10.72522057,0.724707584,0.174814242,0.143761943,0.140633044,0.579303067,0.008690606,0.031097004,HR&0.4?D
E181,15,0.50698523,0.353980005,0.08548274,0.18519803,0.15622548,0.153416498,0.613640714,0.034914371,0.029017884,HR&0.4?D
E196,15,0.515899022,0.677764471,0.405695346,0.176614271,0.160113952,0.163560214,0.465501629,0.075353671,0.016526781,HR&0.4?D
N40,15,0.145296457,12.81671542,0.314487977,0.104019082,0.048003581,0.048003575,0.232617429,0.033703343,0.056042404,HR&0.4?D
N41,15,0.06576599,0.749205148,0.001297509,0.057878026,0.037365414,0.037365415,0.396899922,0.026741918,0.095279042,HR&0.4?D
W110,15,0.456814943,0.713172595,0.278394146,0.214696163,0.13217363,0.132173632,0.321499627,0.1171173,0.082631751,HR&0.4?D
W155,15,0.727991411,24.08522996,0.814157973,0.187988875,0.156975936,0.156975934,0.290959111,0.016932101,0.031061698,HR&0.4?D
W170,15,0.707289719,15.22377158,0.544235419,0.17263069,0.165232878,0.165232877,0.218815112,0.010097628,0.007410056,HR&0.4?D
W185,15,0.703679848,11.53622569,0.048308971,0.169889277,0.176478354,0.176478354,0.329743336,0.046234,0.006600725,HR&0.4?D
W200,15,0.652223863,0.859323286,0.767371525,0.178404505,0.184750235,0.184750238,0.006951231,0.10605141,0.006357476,HR&0.4?D
E114,15,0.189417636,0.876692965,0.005086002,0.424320376,0.079950847,0.102658015,2.211705405,0.168776478,0.344645075,HR&0.01?D
E151,15,0.801362053,11.22450253,0.570728098,0.297598526,0.18216027,0.184897018,2.173029548,0.147174953,0.115648922,HR&0.01?D
E166,15,0.886361155,0.054972328,0.393554568,0.313782777,0.252614987,0.249489496,2.19828051,0.103275961,0.0613227,HR&0.01?D
E181,15,1.101789934,0.005359359,0.029362566,0.343932113,0.311909566,0.309104964,1.512573767,0.002457288,0.032122741,HR&0.01?D
E196,15,1.168720544,1.29191178,0.134437481,0.352932032,0.354732594,0.35817214,0.889487808,0.104879333,0.001806972,HR&0.01?D
N40,15,0.332287902,11.98318665,0.04421852,0.25646084,0.112410574,0.112410576,2.185332462,0.002556472,0.144212376,HR&0.01?D
N41,15,0.720667983,0.046144298,0.30154652,0.107487763,0.246437287,0.246437286,0.325338241,0.171739654,0.354799408,HR&0.01?D
W110,15,0.926630261,0.241870517,0.037905489,0.610410659,0.330388498,0.3303885,0.613923289,0.377923264,0.280950389,HR&0.01?D
W155,15,1.598603335,24.96846144,0.30003394,0.291768222,0.379351089,0.379351089,0.573756484,0.074575837,0.087916378,HR&0.01?D
W170,15,1.639977317,1.36278042,0.40647365,0.322764295,0.398363763,0.398363763,0.699966074,0.074592525,0.075901833,HR&0.01?D
W185,15,1.572782101,12.66860372,0.062133811,0.394143124,0.431070929,0.43107093,0.96483754,0.194962205,0.03708768,HR&0.01?D
W200,15,1.492681803,0.28835322,0.475770345,0.442306377,0.460190804,0.460190807,0.094607568,0.326098131,0.01796711,HR&0.01?D
E114,20,0,0,0,0,0,0,0,0,0,HRHB
E151,20,0,0,0,0,0,0,0,0,0,HRHB
E166,20,0,0,0,0,0,0,0,0,0,HRHB
E181,20,0,0,0,0,0,0,0,0,0,HRHB
E196,20,0,0,0,0,0,0,0,0,0,HRHB
N40,20,0,0,0,0,0,0,0,0,0,HRHB
N41,20,0,0,0,0,0,0,0,0,0,HRHB
W110,20,0,0,0,0,0,0,0,0,0,HRHB
W155,20,0,0,0,0,0,0,0,0,0,HRHB
W170,20,0,0,0,0,0,0,0,0,0,HRHB
W185,20,0,0,0,0,0,0,0,0,0,HRHB
W200,20,0,0,0,0,0,0,0,0,0,HRHB
E114,20,0.022087945,12.75370598,16.52381796,0.309019276,0.011169949,0.008871432,1.87465843,0.128541716,0.320153464,HR&0.4?D
E151,20,0.232124483,1.717577008,1.917892063,0.229654679,0.042034318,0.04152358,0.11078742,0.098906955,0.18769926,HR&0.4?D
