Sensor,Speed,SE,Phi,Mean,Peak,RMS,SD,Skewness,Kurtosis,Crest,Damage Level
E114,15,0,0,0,0,0,0,0,0,0,HRHB
E151,15,0,0,0,0,0,0,0,0,0,HRHB
E166,15,0,0,0,0,0,0,0,0,0,HRHB
E181,15,0,0,0,0,0,0,0,0,0,HRHB
E196,15,0,0,0,0,0,0,0,0,0,HRHB
N40,15,0,0,0,0,0,0,0,0,0,HRHB
N41,15,0,0,0,0,0,0,0,0,0,HRHB
W110,15,0,0,0,0,0,0,0,0,0,HRHB
W155,15,0,0,0,0,0,0,0,0,0,HRHB
W170,15,0,0,0,0,0,0,0,0,0,HRHB
W185,15,0,0,0,0,0,0,0,0,0,HRHB
W200,15,0,0,0,0,0,0,0,0,0,HRHB
E114,15,0.149449986,0.78279548,0.008889301,0.156203785,0.051991903,0.074705424,0.641325115,0.021587978,0.104266092,HR&0.5?D
E151,15,0.374938919,1.105118351,0.362973816,0.11510544,0.088523283,0.091262601,0.444897303,0.023898043,0.026605709,HR&0.5?D
E166,15,0.368396748,10.83757692,0.225134904,0.135984798,0.113914577,0.11078474,0.444018357,0.006647296,0.022095392,HR&0.5?D
E181,15,0.39333454,0.184413015,0.166801776,0.14344766,0.122498932,0.119689001,0.475071652,0.026977049,0.020974421,HR&0.5?D
E196,15,0.400623147,0.02839845,0.155144732,0.133196684,0.122949161,0.126396707,0.357810443,0.058221336,0.010260139,HR&0.5?D
N40,15,0.111187474,0.639703131,0.125564337,0.08070446,0.037301071,0.037301069,0.209382098,0.026473404,0.043419585,HR&0.5?D
N41,15,0.050311803,0.696429171,0.074952691,0.046302421,0.028534218,0.028534221,0.30851244,0.0202872,0.074857999,HR&0.5?D
W110,15,0.343382302,0.763410336,0.692831145,0.165231851,0.102110077,0.102110083,0.255977696,0.090284993,0.063186293,HR&0.5?D
W155,15,0.575652546,32.40862403,0.199698616,0.145884111,0.121423056,0.121423056,0.226641077,0.012653305,0.024490792,HR&0.5?D
W170,15,0.548375878,1.265770985,0.405240043,0.134064259,0.127836453,0.127836452,0.170226628,0.007285369,0.006235778,HR&0.5?D
W185,15,0.546845537,11.18671277,0.265769244,0.131834079,0.136536198,0.136536198,0.258508092,0.035226838,0.004708547,HR&0.5?D
W200,15,0.505746071,1.096468573,0.372465145,0.137935752,0.142930057,0.142930059,0.00679685,0.081622802,0.005001454,HR&0.5?D
E114,15,0.189417636,0.876692965,0.005086002,0.424320376,0.079950847,0.102658015,2.211705405,0.168776478,0.344645075,HR&0.01?D
E151,15,0.801362053,11.22450253,0.570728098,0.297598526,0.18216027,0.184897018,2.173029548,0.147174953,0.115648922,HR&0.01?D
E166,15,0.886361155,0.054972328,0.393554568,0.313782777,0.252614987,0.249489496,2.19828051,0.103275961,0.0613227,HR&0.01?D
E181,15,1.101789934,0.005359359,0.029362566,0.343932113,0.311909566,0.309104964,1.512573767,0.002457288,0.032122741,HR&0.01?D
E196,15,1.168720544,1.29191178,0.134437481,0.352932032,0.354732594,0.35817214,0.889487808,0.104879333,0.001806972,HR&0.01?D
N40,15,0.332287902,11.98318665,0.04421852,0.25646084,0.112410574,0.112410576,2.185332462,0.002556472,0.144212376,HR&0.01?D
N41,15,0.720667983,0.046144298,0.30154652,0.107487763,0.246437287,0.246437286,0.325338241,0.171739654,0.354799408,HR&0.01?D
W110,15,0.926630261,0.241870517,0.037905489,0.610410659,0.330388498,0.3303885,0.613923289,0.377923264,0.280950389,HR&0.01?D
W155,15,1.598603335,24.96846144,0.30003394,0.291768222,0.379351089,0.379351089,0.573756484,0.074575837,0.087916378,HR&0.01?D
W170,15,1.639977317,1.36278042,0.40647365,0.322764295,0.398363763,0.398363763,0.699966074,0.074592525,0.075901833,HR&0.01?D
W185,15,1.572782101,12.66860372,0.062133811,0.394143124,0.431070929,0.43107093,0.96483754,0.194962205,0.03708768,HR&0.01?D
W200,15,1.492681803,0.28835322,0.475770345,0.442306377,0.460190804,0.460190807,0.094607568,0.326098131,0.01796711,HR&0.01?D
E114,20,0,0,0,0,0,0,0,0,0,HRHB
E151,20,0,0,0,0,0,0,0,0,0,HRHB
E166,20,0,0,0,0,0,0,0,0,0,HRHB
E181,20,0,0,0,0,0,0,0,0,0,HRHB
E196,20,0,0,0,0,0,0,0,0,0,HRHB
N40,20,0,0,0,0,0,0,0,0,0,HRHB
N41,20,0,0,0,0,0,0,0,0,0,HRHB
W110,20,0,0,0,0,0,0,0,0,0,HRHB
W155,20,0,0,0,0,0,0,0,0,0,HRHB
W170,20,0,0,0,0,0,0,0,0,0,HRHB
W185,20,0,0,0,0,0,0,0,0,0,HRHB
W200,20,0,0,0,0,0,0,0,0,0,HRHB
E114,20,0.019442014,12.48563356,1.108203436,0.270027003,0,0,1.465901848,0.098901099,0.270027003,HR&0.5?D
E151,20,0.180356433,0.470162119,6.413742787,0.155359917,0.024485798,0.024479804,0.091911765,0.077218781,0.130906172,HR&0.5?D
