Sensor,Speed,SE,Phi,Mean,Peak,RMS,SD,Skewness,Kurtosis,Crest,Damage Level
E114,15,0,0,0,0,0,0,0,0,0,HRHB
E151,15,0,0,0,0,0,0,0,0,0,HRHB
E166,15,0,0,0,0,0,0,0,0,0,HRHB
E181,15,0,0,0,0,0,0,0,0,0,HRHB
E196,15,0,0,0,0,0,0,0,0,0,HRHB
N40,15,0,0,0,0,0,0,0,0,0,HRHB
N41,15,0,0,0,0,0,0,0,0,0,HRHB
W110,15,0,0,0,0,0,0,0,0,0,HRHB
W155,15,0,0,0,0,0,0,0,0,0,HRHB
W170,15,0,0,0,0,0,0,0,0,0,HRHB
W185,15,0,0,0,0,0,0,0,0,0,HRHB
W200,15,0,0,0,0,0,0,0,0,0,HRHB
E114,15,0.025130487,12.37204512,0.163737902,0.245575982,0.097605522,0.120308676,1.048165803,0.036620771,0.148115029,HR&0.3?D
E151,15,0.589771147,0.049057284,0.580792016,0.195983058,0.146469322,0.149207048,0.736564738,0.038634242,0.049586364,HR&0.3?D
E166,15,0.596543451,0.180593764,0.090545431,0.21977465,0.178241415,0.175113594,0.740532679,0.011285716,0.041607397,HR&0.3?D
E181,15,0.638712766,0.282450317,0.648084712,0.233562321,0.195342656,0.192534773,0.777658478,0.044127315,0.038294471,HR&0.3?D
E196,15,0.649767474,0.685804212,0.167309945,0.227444617,0.203343009,0.206787781,0.588698711,0.095231539,0.024150716,HR&0.3?D
N40,15,0.184311105,11.8870682,0.160940157,0.132714001,0.060506422,0.060506428,0.233699331,0.042298857,0.072251296,HR&0.3?D
N41,15,0.103247871,0.68259561,0.41483851,0.072760947,0.048211769,0.04821176,0.499612392,0.034479093,0.121031067,HR&0.3?D
W110,15,0.587814915,0.926009295,0.32798396,0.272579932,0.167394416,0.16739442,0.387201529,0.148954471,0.105361886,HR&0.3?D
W155,15,0.891748103,24.00194297,0.733371297,0.236023887,0.198540011,0.19854001,0.363111904,0.02220446,0.037558445,HR&0.3?D
W170,15,0.89223813,1.010590896,0.260344804,0.217165735,0.208937427,0.208937427,0.276255629,0.013675712,0.008245535,HR&0.3?D
W185,15,0.886473793,0.383861898,0.719929494,0.213833971,0.223127089,0.223127091,0.41576657,0.059652576,0.009313901,HR&0.3?D
W200,15,0.822112038,0.266919291,0.105975491,0.225143066,0.233570554,0.233570555,0.004946345,0.134920589,0.008447219,HR&0.3?D
E114,15,0.189417636,0.876692965,0.005086002,0.424320376,0.079950847,0.102658015,2.211705405,0.168776478,0.344645075,HR&0.01?D
E151,15,0.801362053,11.22450253,0.570728098,0.297598526,0.18216027,0.184897018,2.173029548,0.147174953,0.115648922,HR&0.01?D
E166,15,0.886361155,0.054972328,0.393554568,0.313782777,0.252614987,0.249489496,2.19828051,0.103275961,0.0613227,HR&0.01?D
E181,15,1.101789934,0.005359359,0.029362566,0.343932113,0.311909566,0.309104964,1.512573767,0.002457288,0.032122741,HR&0.01?D
E196,15,1.168720544,1.29191178,0.134437481,0.352932032,0.354732594,0.35817214,0.889487808,0.104879333,0.001806972,HR&0.01?D
N40,15,0.332287902,11.98318665,0.04421852,0.25646084,0.112410574,0.112410576,2.185332462,0.002556472,0.144212376,HR&0.01?D
N41,15,0.720667983,0.046144298,0.30154652,0.107487763,0.246437287,0.246437286,0.325338241,0.171739654,0.354799408,HR&0.01?D
W110,15,0.926630261,0.241870517,0.037905489,0.610410659,0.330388498,0.3303885,0.613923289,0.377923264,0.280950389,HR&0.01?D
W155,15,1.598603335,24.96846144,0.30003394,0.291768222,0.379351089,0.379351089,0.573756484,0.074575837,0.087916378,HR&0.01?D
W170,15,1.639977317,1.36278042,0.40647365,0.322764295,0.398363763,0.398363763,0.699966074,0.074592525,0.075901833,HR&0.01?D
W185,15,1.572782101,12.66860372,0.062133811,0.394143124,0.431070929,0.43107093,0.96483754,0.194962205,0.03708768,HR&0.01?D
W200,15,1.492681803,0.28835322,0.475770345,0.442306377,0.460190804,0.460190807,0.094607568,0.326098131,0.01796711,HR&0.01?D
E114,20,0,0,0,0,0,0,0,0,0,HRHB
E151,20,0,0,0,0,0,0,0,0,0,HRHB
E166,20,0,0,0,0,0,0,0,0,0,HRHB
E181,20,0,0,0,0,0,0,0,0,0,HRHB
E196,20,0,0,0,0,0,0,0,0,0,HRHB
N40,20,0,0,0,0,0,0,0,0,0,HRHB
N41,20,0,0,0,0,0,0,0,0,0,HRHB
W110,20,0,0,0,0,0,0,0,0,0,HRHB
W155,20,0,0,0,0,0,0,0,0,0,HRHB
W170,20,0,0,0,0,0,0,0,0,0,HRHB
W185,20,0,0,0,0,0,0,0,0,0,HRHB
W200,20,0,0,0,0,0,0,0,0,0,HRHB
E114,20,0.042671331,0.774914037,11.4859455,0.377861568,0.014623602,0.005418471,2.368048183,0.16254104,0.392427783,HR&0.3?D
