Sensor,Speed,SE,Phi,Mean,Peak,RMS,SD,Skewness,Kurtosis,Crest,Damage Level
E114,15,0,0,0,0,0,0,0,0,0,HRHB
E151,15,0,0,0,0,0,0,0,0,0,HRHB
E166,15,0,0,0,0,0,0,0,0,0,HRHB
E181,15,0,0,0,0,0,0,0,0,0,HRHB
E196,15,0,0,0,0,0,0,0,0,0,HRHB
N40,15,0,0,0,0,0,0,0,0,0,HRHB
N41,15,0,0,0,0,0,0,0,0,0,HRHB
W110,15,0,0,0,0,0,0,0,0,0,HRHB
W155,15,0,0,0,0,0,0,0,0,0,HRHB
W170,15,0,0,0,0,0,0,0,0,0,HRHB
W185,15,0,0,0,0,0,0,0,0,0,HRHB
W200,15,0,0,0,0,0,0,0,0,0,HRHB
E114,15,0.095614359,12.05409937,0.493549459,0.076239188,0.009375213,0.032098423,0.268035604,0.008966149,0.066870244,HR&0.75?D
E151,15,0.14646465,0.440571105,0.501899647,0.040967624,0.034882523,0.037623311,0.187181254,0.010494942,0.006087224,HR&0.75?D
E166,15,0.157938475,10.45506868,0.059707611,0.059552104,0.054698683,0.051566991,0.183666866,0.002666686,0.004856078,HR&0.75?D
E181,15,0.167708238,0.218830228,0.67951592,0.061187028,0.055700634,0.052888822,0.20191334,0.011151924,0.005489452,HR&0.75?D
E196,15,0.171753516,0.107292786,0.121393522,0.046890994,0.049351701,0.052801788,0.145693049,0.024297111,0.002461923,HR&0.75?D
N40,15,0.046682823,12.88232685,0.100847936,0.034075217,0.015844118,0.015844116,0.078415129,0.011340001,0.018233988,HR&0.75?D
N41,15,0.02137662,0.536963164,0.648993346,0.019843895,0.011984642,0.011984627,0.129286139,0.00856875,0.031832352,HR&0.75?D
W110,15,0.157118692,0.147214992,0.619324119,0.069460523,0.043188357,0.043188362,0.113414791,0.038175376,0.026283517,HR&0.75?D
W155,15,0.267645598,25.06196957,0.154904132,0.062267608,0.051456137,0.051456137,0.097125632,0.004976906,0.010817038,HR&0.75?D
W170,15,0.23395706,0.20388487,0.476118835,0.056931398,0.054216423,0.054216424,0.072392556,0.002691417,0.002716447,HR&0.75?D
W185,15,0.234907803,10.76150185,0.387025621,0.056176721,0.057945413,0.057945413,0.110942564,0.014517341,0.001769717,HR&0.75?D
W200,15,0.215470688,0.405405015,0.949814442,0.058708192,0.060627723,0.060627725,0.003965872,0.034256854,0.001920695,HR&0.75?D
E114,15,0.189417636,0.876692965,0.005086002,0.424320376,0.079950847,0.102658015,2.211705405,0.168776478,0.344645075,HR&0.01?D
E151,15,0.801362053,11.22450253,0.570728098,0.297598526,0.18216027,0.184897018,2.173029548,0.147174953,0.115648922,HR&0.01?D
E166,15,0.886361155,0.054972328,0.393554568,0.313782777,0.252614987,0.249489496,2.19828051,0.103275961,0.0613227,HR&0.01?D
E181,15,1.101789934,0.005359359,0.029362566,0.343932113,0.311909566,0.309104964,1.512573767,0.002457288,0.032122741,HR&0.01?D
E196,15,1.168720544,1.29191178,0.134437481,0.352932032,0.354732594,0.35817214,0.889487808,0.104879333,0.001806972,HR&0.01?D
N40,15,0.332287902,11.98318665,0.04421852,0.25646084,0.112410574,0.112410576,2.185332462,0.002556472,0.144212376,HR&0.01?D
N41,15,0.720667983,0.046144298,0.30154652,0.107487763,0.246437287,0.246437286,0.325338241,0.171739654,0.354799408,HR&0.01?D
W110,15,0.926630261,0.241870517,0.037905489,0.610410659,0.330388498,0.3303885,0.613923289,0.377923264,0.280950389,HR&0.01?D
W155,15,1.598603335,24.96846144,0.30003394,0.291768222,0.379351089,0.379351089,0.573756484,0.074575837,0.087916378,HR&0.01?D
W170,15,1.639977317,1.36278042,0.40647365,0.322764295,0.398363763,0.398363763,0.699966074,0.074592525,0.075901833,HR&0.01?D
W185,15,1.572782101,12.66860372,0.062133811,0.394143124,0.431070929,0.43107093,0.96483754,0.194962205,0.03708768,HR&0.01?D
W200,15,1.492681803,0.28835322,0.475770345,0.442306377,0.460190804,0.460190807,0.094607568,0.326098131,0.01796711,HR&0.01?D
E114,20,0,0,0,0,0,0,0,0,0,HRHB
E151,20,0,0,0,0,0,0,0,0,0,HRHB
E166,20,0,0,0,0,0,0,0,0,0,HRHB
E181,20,0,0,0,0,0,0,0,0,0,HRHB
E196,20,0,0,0,0,0,0,0,0,0,HRHB
N40,20,0,0,0,0,0,0,0,0,0,HRHB
N41,20,0,0,0,0,0,0,0,0,0,HRHB
W110,20,0,0,0,0,0,0,0,0,0,HRHB
W155,20,0,0,0,0,0,0,0,0,0,HRHB
W170,20,0,0,0,0,0,0,0,0,0,HRHB
W185,20,0,0,0,0,0,0,0,0,0,HRHB
W200,20,0,0,0,0,0,0,0,0,0,HRHB
E114,20,0.000576082,13.34027609,0.038147953,0.129111422,0.00549424,0.014546004,0.614658003,0.04225471,0.134598267,HR&0.75?D
